concurrency,avg node bandwidth,avg node concurrent mean,avg node mean,avg node longest,avg php bandwidth,avg php concurrent mean,avg php mean,avg php longest
2,255.48100000000005,3.9227999999999996,7.845699999999999,432.2,295.512,3.3933,6.7866,382.3
4,267.20500000000004,3.7464999999999997,14.985999999999999,1042.1,274.83599999999996,3.6404000000000005,14.560899999999998,447.9
8,264.206,3.7920000000000003,30.336499999999994,148.2,272.58000000000004,3.6708,29.366899999999998,127.9
16,292.322,3.4264,54.822199999999995,143.5,291.97700000000003,3.4326999999999996,54.9246,148.3
32,291.88100000000003,3.4266999999999994,109.65450000000001,227.8,297.383,3.3629,107.61269999999999,188.9
64,290.93,3.438799999999999,220.08759999999998,400.9,296.15299999999996,3.3776,216.16410000000002,333.9
128,290.09000000000003,3.4484999999999992,441.4134,541.4,294.26000000000005,3.3996999999999993,435.1634,555.3
256,291.66099999999994,3.4311999999999996,878.3938,1393.0,272.605,3.6757999999999997,941.0536,4195.0
512,266.799,3.7578000000000005,1924.0399000000002,2602.1,70.07300000000001,14.2758,7309.259199999999,10913.7
1024,287.82599999999996,3.4857,3569.4858999999997,4427.2,69.005,14.493200000000002,14841.0421,18141.2
2048,268.773,3.7354,7650.4728000000005,9639.2,68.70599999999999,14.558300000000003,29815.311200000004,34808.4
4096,240.16000000000003,4.179,17117.5579,20172.2,67.067,14.911100000000001,61075.9885,65528.1
8192,236.73200000000003,4.2395000000000005,34730.961899999995,34970.5,64.704,15.461999999999998,126663.15559999998,128241.7
