concurrency,avg node bandwidth,avg node concurrent mean,avg node mean,avg node longest,avg php bandwidth,avg php concurrent mean,avg php mean,avg php longest
2,106.0233333,9.433,18.866,57.33333333,129.6033333,7.717333333,15.435,55.33333333
4,157.4233333,6.352333333,25.40933333,54.33333333,180.69,5.534666667,22.138,61.33333333
8,186.1533333,5.407666667,43.26,98.66666667,172.7833333,5.940666667,47.52366667,1122
16,201.25,4.972,79.554,115.3333333,194.95,5.137666667,82.20533333,115.6666667
32,191.92,5.211,166.749,262.3333333,184.82,5.411,173.1453333,221.3333333
64,201.4866667,4.965,317.7683333,360,193.4533333,5.171666667,330.9773333,378.3333333
128,196.9433333,5.078,649.9536667,707.3333333,190.79,5.241333333,670.8926667,777.3333333
256,193.8166667,5.16,1320.908667,1382,187.1,5.345,1368.369667,1466
512,166.7466667,6.067666667,3106.678,2921.333333,70.08,14.26966667,7306.001,8182
1024,193.7666667,5.168666667,5292.969667,5165,66.60333333,15.05066667,15411.71467,16978
2048,161.2033333,6.206333333,12710.06033,12637.33333,65.55,15.329,31393.79533,30003
