Request type,Node.js,Apache/PHP
Database bandwidth,82.01,96.21499999999999
Database concurrent mean,12.197833333333334,10.397833333333333
Database mean,780.6643333333333,665.462
Database longest,4868.166666666667,3572.8333333333335
String search bandwidth,1.1166666666666667,0.11333333333333334
String search concurrent mean,898.418,8843.800166666666
String search mean,898.418,8843.800166666666
String search longest,977.1666666666666,10961.0
Static file bandwidth,0.395,0.5483333333333333
Static file concurrent mean,2532.3503333333333,1831.1938333333335
Static file mean,2532.3503333333333,1831.1938333333335
Static file longest,14809.666666666666,3716.1666666666665
