Request type,Node.js,Apache/PHP
Database bandwidth,97.99000000000001,49.541666666666664
Database concurrent mean,10.213333333333333,20.220333333333333
Database mean,5229.2015,10352.728666666668
Database longest,46851.0,56529.166666666664
String search bandwidth,2.015,1.845
String search concurrent mean,497.2366666666667,541.9319999999999
String search mean,3977.8941666666665,4335.4565
String search longest,4592.0,6426.0
Static file bandwidth,0.71,0.6816666666666666
Static file concurrent mean,1409.888,1475.5478333333333
Static file mean,11279.103333333333,11804.383333333333
Static file longest,16300.166666666666,15923.166666666666
