concurrency,avg node bandwidth,avg node concurrent mean,avg node mean,avg node longest,avg php bandwidth,avg php concurrent mean,avg php mean,avg php longest
2,75.01,13.331,26.662,86.0,93.6,10.683,21.367,114.0
4,130.16,7.683,30.731,98.0,147.79,6.767,27.066,66.0
8,175.69,5.692,45.535,89.0,179.68,5.565,44.523,343.0
16,176.14,5.677,90.837,148.0,178.29,5.609,89.741,146.0
32,180.52,5.54,177.268,392.0,156.36,6.396,204.66,9315.0
64,180.54,5.539,354.497,660.0,158.11,6.325,404.789,9135.0
128,176.21,5.675,726.417,836.0,178.85,5.591,715.697,875.0
256,185.54,5.39,1379.735,1512.0,158.14,6.324,1618.843,7035.0
512,182.11,5.491,2811.411,3032.0,66.39,15.062,7711.691,10939.0
1024,172.0,5.814,5953.341,8294.0,64.68,15.461,15832.281,21540.0
2048,175.82,5.688,11648.416,11265.0,63.96,15.634,32019.082,34451.0
4096,143.94,6.948,28457.127,30525.0,66.28,15.087,61795.535,63471.0
8192,156.4,6.394,52379.996,51869.0,64.57,15.486,126861.256,122225.0
